urn	hgvs_lines	peak_rss_gb
urn:mavedb:00000001-a-1	3160	0.215
urn:mavedb:00000001-b-1	2020	0.139
urn:mavedb:00000001-c-2	2980	0.158
urn:mavedb:00000001-d-2	3807	0.356
urn:mavedb:00000002-a-2	548	0.168
urn:mavedb:00000003-a-2	5042	45.200
urn:mavedb:00000003-b-2	5042	45.200
urn:mavedb:00000005-a-1	11263	130.600
urn:mavedb:00000005-a-2	11243	130.400
urn:mavedb:00000005-a-3	11550	135.300
urn:mavedb:00000005-a-4	11550	135.300
urn:mavedb:00000013-a-1	4408	10.300
urn:mavedb:00000013-b-1	4027	18.000
urn:mavedb:00000035-a-1	18448	1.200
urn:mavedb:00000035-a-2	18448	1.200
urn:mavedb:00000035-a-3	18448	1.300
urn:mavedb:00000036-a-1	6384	24.800
urn:mavedb:00000036-a-2	6382	24.800
urn:mavedb:00000041-a-1	3506	14.600
urn:mavedb:00000041-b-1	360	1.600
urn:mavedb:00000045-a-1	2800	0.225
urn:mavedb:00000045-b-1	2800	0.224
urn:mavedb:00000045-c-1	2800	0.225
urn:mavedb:00000045-d-1	2800	0.225
urn:mavedb:00000045-e-1	2800	0.225
urn:mavedb:00000045-f-1	2800	0.225
urn:mavedb:00000045-g-1	2800	0.225
urn:mavedb:00000045-h-1	2800	0.225
urn:mavedb:00000045-i-1	2800	0.225
urn:mavedb:00000045-j-1	2800	0.225
urn:mavedb:00000045-k-1	2800	0.225
urn:mavedb:00000045-l-1	2800	0.224
urn:mavedb:00000046-a-1	538	0.117
urn:mavedb:00000046-a-2	492	0.117
urn:mavedb:00000046-a-3	515	0.117
urn:mavedb:00000047-a-1	7000	0.142
urn:mavedb:00000047-b-1	7000	0.142
urn:mavedb:00000047-c-1	7000	0.142
urn:mavedb:00000048-a-1	7001	3.300
urn:mavedb:00000048-b-1	7001	3.300
urn:mavedb:00000048-c-1	7001	3.300
urn:mavedb:00000049-a-1	13684	48.900
urn:mavedb:00000049-a-2	13669	48.900
urn:mavedb:00000049-a-3	13669	48.900
urn:mavedb:00000049-a-4	13684	48.900
urn:mavedb:00000049-a-5	13669	48.900
urn:mavedb:00000049-a-6	13684	48.900
urn:mavedb:00000049-a-7	12538	44.800
urn:mavedb:00000049-a-8	12141	43.400
urn:mavedb:00000050-a-1	17746	83.900
urn:mavedb:00000051-a-1	536	0.121
urn:mavedb:00000051-b-1	480	0.525
urn:mavedb:00000051-c-1	300	1.000
urn:mavedb:00000053-a-2	1235	0.127
urn:mavedb:00000055-0-1	3014	0.134
urn:mavedb:00000055-a-1	3099	0.134
urn:mavedb:00000055-b-1	3099	0.134
urn:mavedb:00000057-a-1	3285	29.200
urn:mavedb:00000057-b-1	3285	29.200
urn:mavedb:00000057-c-1	3285	29.200
urn:mavedb:00000057-d-1	3285	29.200
urn:mavedb:00000058-a-1	826	0.136
